"Source","Destination","Miles","Leave","Arrive","Carrier","Flight","Plane","Days","Stops","Meal","Notes"
YYZ,YVR,2081,12:00,14:05,AC,101,320,Daily,0,F,"Above Eff. 6/20"
YYZ,YVR,2081,10:00,12:05,WS,101,320,Daily,0,F,""
YYZ,YUL,315,17:00,18:17,AC,420,321,Daily,0,S,""
YYZ,YUL,315,19:00,20:17,WS,420,321,Daily,0,S,""
YYZ,YUL,315,12:00,13:17,PD,420,321,Daily,0,S,""
YYZ,YUL,315,09:00,10:17,TS,420,321,Daily,0,S,""
YYZ,YOW,226,12:10,13:10,AC,450,E90,Daily,0,S,"Above Eff. 6/20, Exc. 6/22, 6/29"
YYZ,YEG,1672,08:00,10:05,AC,123,320,67,0,F,"Above 5/3 - 5/31, Exc. 5/16, 5/23"
YYZ,YYC,1672,14:00,16:10,AC,121,320,Daily,0,F,"Above Disc. 5/9"
YYZ,YWG,935,22:00,23:32,AC,275,319,7,0,F,"Above Disc. 6/14"
YYZ,YHZ,801,12:40,15:42,AC,170,320,X7,0,F,"Above Eff. 6/20"
YYZ,YYJ,2096,10:10,12:27,AC,1191,E90,Daily,0,F,"Above Eff. 7/1"
YYZ,YLW,1906,08:45,10:28,AC,197,E90,Daily,0,F,"Above Eff. 6/20"
YYZ,YYT,1320,15:10,19:40,AC,696,319,X6,0,F,"Above Eff. 6/21"
